廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
李元芳,密探谛听,谍影重重,刃遁,无间刃风,被动：元芳可爱的大耳朵可以帮助元芳周期性谛听周围的动向，获得并捕捉敌方英雄的踪迹，获得敌方视野1秒，对同一单位6秒生效一次。同时李元芳可以识破野怪弱点，所有的攻击会对野怪额外造成10%真实伤害。,元芳使用暗印标记敌方目标，最多持续4秒，4秒后爆炸对范围内敌方造成80/110/140/170/200/230(+65%物理加成）点物理伤害，元芳对该目标的普通攻击会叠加暗印标记，最多叠加4层，每层印记会额外造成80/110/140/170/200/230(+65%物理加成）点物理伤害，叠加满4层会立即引爆暗印；释放技能时元芳会增加40%攻击速度和75点攻击距离，持续4秒。,元芳向指定方向放出飞轮，同时施展鬼魅身法在终点现身接住飞轮，移动时元芳将无法被选中，飞轮会对敌人造成200/220/240/260/280/300（+50%物理加成）点物理伤害并减少50%移动速度，持续2秒；经过的地面留下燃痕，持续2.9秒，对路径上的敌人每0.25秒造成80/88/96/104/112/120（+20%物理加成）点物理伤害并减少50%移动速度。,元芳平扔出飞轮到指定位置旋转卷起利刃风暴，利刃撞击目标中造成215/275/335（+75%物理加成）点物理伤害，持续5.4秒，对范围内的敌人每0.5秒造成75/93/111（+35%物理加成）点物理伤害并减少50%移动速度，内圈会受到双倍的刃伤；刃伤也可叠加暗印层数。
虞姬,树神护佑,楚歌起,大风来,阵前舞,被动：虞姬有25%的几率射出两箭总计造成100（+120%物理加成）点物理伤害，同时将减少其15%移动速度，持续2秒，该效果最高叠加3层。,虞姬蓄力后，向指定方向发射一支携树神加持的强力弩矢，弩矢对路径上第一个敌人造成365/540/715/890/1065/1240（+200%物理加成）点物理伤害；弩矢每命中一个敌人衰减15%伤害，最低衰减至40%伤害。,虞姬增加30/36/42/48/54/60%移速，持续2秒，期间闪避物理攻击。虞姬在技能开启瞬间免控，随后解除减速效果并使5秒内下次普攻触发树神护佑。被动:虞姬获得护佑，提升20%攻速。,虞姬冲向目标，在接触目标时将其眩晕0.5秒并减少90%移动速度，持续2秒，然后向后跳跃；跳跃时对目标快速射出2支弩矢，每支弩矢造成180/225/270（+85%物理加成）点物理伤害，后跳结束虞姬获得30/40/50%攻速加成持续4秒；虞姬在跳跃过程中免疫控制效果。
钟馗,制裁仪式,虚空清道者,湮灭之锁,轮回吞噬,被动：钟馗受到单次伤害超过10%当前生命会引发爆炸，对附近的敌人造成60(+60%法术攻击)(+3%最大生命)法术伤害，引发爆炸有2秒冷却。  钟馗死亡3秒后会引爆自身，对自身附近的敌人造成240( +240%法术攻击)(+12%最大生命)法术伤害,钟馗以虚空之力锤击地面，对范围内的敌人造成320/384/448/512/576/640（+32%法术加成）点法术伤害并减少30%移动速度，持续1秒；在钟馗身边的敌人受到250%伤害并减少30%移动速度，持续2秒,钟馗投出钩锁并将首个命中的敌人拉至身前，并造成550(+60%法术攻击)法术伤害，同时为其添加标记，轮回吞噬的每次吞噬会将标记的敌人晕眩0.5秒。  被动:钟馗每次击败英雄或助攻会获1层虚空噬魂，每层增加180点生命，最多叠加20层。,钟馗张开虚空身躯，对敌人发动最多16吞噬效果，共造成1920（+288%法术加成）点法术伤害；钟馗每次吞噬时获得护60点护盾。
成吉思汗,追猎,鹰眼,百兽陷阱,可汗狂猎,被动：当成吉思汗穿越草丛时会增加40%移动速度，持续2秒，同时下一次普通攻击将变更为两连射，每支箭矢造成0（+60%物理加成）点物理伤害；两连射有4秒冷却时间。击杀任一单位也会获得该加速效果；成吉思汗处于草丛中时增加30%对野怪伤害。,成吉思汗释放猎鹰侦查，照亮周围区域并获取其中敌人的视野，持续5秒；猎鹰还会朝指定方向飞行，获取沿途区域视野；每16秒可准备1只猎鹰，同时最多可拥有2只猎鹰； ,被动：箭矢对同一个目标的第四次攻击会额外造成270/312/354/396/438/480（+45%物理加成）点物理伤害，该伤害对野怪额外提升100%效果，并提升自身移速40%持续2秒。,成吉思汗向指定位置投掷陷阱，持续120秒，陷阱被敌人触碰后范围内敌人将减少30%移动速度并将暴露视野；短暂延迟后对区域内造成360/432/504/576/648/720（+120%物理加成）点物理伤害；每12秒可准备一枚陷阱，同时最多储备3个陷阱；未被触发的陷阱落地2秒后隐形。,成吉思汗骑行中对敌人射出箭矢造成120/160/200（+100%物理加成）点物理伤害，箭矢可触发普通攻击的法球效果并可以暴击和吸血；每5秒可准备1只箭矢，同时最多可储备5只箭矢。
杨戬,神智侵蚀,逆转乾坤,虚妄破灭,根源之目,被动：杨戬附近的每个敌方英雄都会使杨戬减少自身20%所受控制效果的持续时间，最多减少60%,杨戬召唤哮天犬并让其向指定方向发起冲锋，对第一个命中的敌人造成210/255/300/345/390/435（+45%物理加成）点物理伤害，如果命中敌人，5秒内可再次释放该技能，释放后杨戬将冲向该敌人并发起一次攻击，造成320/395/470/545/620/695（+65%物理加成）点物理伤害并附加目标已损生命值16%的物理伤害，对非英雄目标最多附加800伤害；若目标单位被击败则立即刷新一技能冷却时间。,杨戬向指定方向横扫，对范围内敌人造成250/300/350/400/450/500（+100%物理加成）点物理伤害并减少50%移动速度，持续2秒；杨戬生命值百分比低于目标时造成1秒晕眩，若百分比高于目标，则造成0.5秒晕眩。命中敌人后，杨戬的普通攻击将附带80/120/160/200/240/280（+35%物理加成）点真实伤害，持续5秒,杨戬可利用天眼施放3次激光，每次间隔不超过5秒，对路径上的敌人造成300/450/600（+72%物理加成）点物理伤害，第3次将会发出3道激光，同时被多道激光命中，从第二道激光开始只会造成30%的伤害；激光命中敌人时，回复自身130（+33%物理攻击）点生命，同时被多道激光命中，从第二道激光开始只有50%的回复效果。
雅典娜,真神觉醒,神圣进军,贯穿之枪,敬畏圣盾,对非英雄单位可造成额外25%伤害。死亡后以真身形态继续移动并增加向着雅典娜移动的友军英雄10%移动速度，获取视野并且可直接在真身位置复活，复活时重新降临归来，对范围内敌人造成480(+120%物理攻击)物理伤害和0.75秒击飞。,举盾突进，对敌人造成300(+75%物理攻击)法术伤害并将其击退，同时获得375(+82%物理攻击)点护盾，持续1秒，护盾期间免控。,雅典娜向指定方向跳跃，同时将下一次普通攻击变更为一个枪刺，枪刺可造成350/400/450/500/550/600（+100％物理加成）点物理伤害；连续三次对敌方英雄枪刺将贯穿该名英雄，造成目标已损生命25％的物理伤害，枪刺间隔不超过6秒才能触发贯穿；神圣进军和敬畏圣盾命中敌人时贯穿之枪会减少4秒的冷却时间。,雅典娜举起圣盾并获得900(+900/Lv)(+1.0Ad)的护盾，期间免控，至多1.5秒后，使用圣盾反击，造成240(+120/Lv)(+0.7Ad)的法术伤害；举盾期间每受到一次攻击，圣盾反击伤害增加12.5%，并减少施法时间，最多8层。
蔡文姬,长歌行,思无邪,胡笳乐,忘忧曲,被动：当蔡文姬受到伤害时，自身会立刻增加70%持续衰减的移动速度，持续2秒，同时自身会每秒回复250（+50%法术加成）点生命值，持续2秒；长歌行每10秒只能触发1次,蔡文姬演奏乐曲，自身会增加40%移动速度，持续3秒，同时将为自身和周围的友方英雄每0.5秒恢复75/81/87/93/99/105（+25%法术加成）点生命值，恢复效果对非英雄单位生效50%，持续3秒。,蔡文姬向指定方向弹奏一束音波，命中后会在敌人间弹射，每次弹射造成300/348/396/444/492/540（+48%法术加成）点法术伤害并将其眩晕0.75秒；每束音波最多弹射6次，同一目标最多受到2次弹射效果，第二次弹射命中时将只造成25%的初始伤害和眩晕时间。,蔡文姬释放琴音围绕四周，每0.5秒为范围内血量最低的友方英雄回复100/150/200（+70%法术加成）点生命值，持续5秒，同时为其增加300/375/450（+25%法术加成）点物理和法术防御。
太乙真人,黄金闪闪,意外事故,第三只手,大变活人,被动：太乙真人附近800范围内的敌方非英雄单位死亡时，太乙真人和附近的队友都会额外获得20％金币,太乙真人使用炉子炼制药剂，最多持续5秒，炼制结束时或发生爆炸，对周围敌人造成165/225/285/345/405/465（+50%法术加成）~495/675/855/1035/1215/1395(+165%法术攻击)点法术伤害并将其晕眩0.5-0.75（+0.1/Lv）；太乙真人可随时结束炼制并触发爆炸，但炼制时间越长，伤害越高并且晕眩时间越长；蓄力期间获得20%移速加成，满蓄力状态命中后自动重新开始第二次效果，此次效果不消耗法力；同时，太乙真人还会获得60/96/132/168/204/240点物理及法术防御加成；炼制达到最长时间后，若爆炸命中敌方英雄将减少意外事故的全部冷却时间。,太乙真人的炉子向指定方向伸出一只触手，会将自身拉向命中的第一个目标；如果是敌方目标，还会造成450/500/550/600/650/700（+80％法术加成）点法术伤害并将其眩晕0.5秒；触手可以抓住陷阱类物体,太乙真人召唤替身傀儡，替身傀儡会保护太乙真人和附近血量最低的一名队友，持续3秒；若在傀儡保护下死亡，2秒后将在原地复活，同时将获得1600/2350/3100（+200％法术加成）点生命；该技能可以在被控制时释放，未复活任一友方时返还30%冷却，使用时增加范围显示。
哪吒,炙炼火种,火焰三尖枪,混天绫·束,乾坤·天降,被动：当哪吒用三尖枪和乾坤圈，混天绫时进行攻击时会在敌人身上留下炙炼火种，对敌人每秒造成35（+24%物理加成）点真实伤害，持续3秒；并且炙炼火种会减少其35%的生命回复效果。,哪吒挥动三尖枪攻击四周的敌人，造成400/440/480/520/560/600(+75%物理加成)点物理伤害；每击中一个敌人都会触发1次风火轮；当哪吒触发风火轮时会增加6%移动速度，持续5秒，最多可叠加5层。,哪吒用混天绫短暂束缚敌人，触发火莲之印，获得15%减伤，持续3秒，该技能有1秒冷却时间，4秒内可再次释放；每击中一个敌人都会触发1次风火轮。,哪吒升上天空并对敌方所有英雄施加乾坤圈，释放后将获得其视野并打断回城，随后可选择一位敌方英雄并飞冲到其身前，造成500/625/750（+100%物理加成）点物理伤害并将其击退；落地时激发火莲之华，对火莲范围的敌人每秒施加1次炙炼火种，并增加自身30%韧性；落地时还会触发火莲之印；飞行过程中再次释放技能会立即降落并激发火莲之华。
诸葛亮,策谋之刻,东风破袭,时空穿梭,元气弹,被动：诸葛亮法术命中敌人时，会为自己施加谋略刻印，当刻印达到5层时，会召唤5颗法球围绕自身，短暂时间后依次飞出攻击附近的敌人造成135(+25%法术加成)点法术伤害；法球会优先攻击敌方英雄，法球不会攻击非战斗状态的野怪，对于小兵的伤害额外增加40%。,诸葛亮指定方向发射三颗法球，对路径上的敌人造成500/600/700/800/900/1000（+70%法术加成）点法术伤害，如果多颗法球命中同一目标时，从第二颗法球开始将只造成20%伤害；每颗法球能触发1次谋略刻印,诸葛亮快速朝指定方向闪烁，并在起始位置和终点位置同时产生一次法力场，对范围内敌人造成350/420/490/560/630/700（+52%法术加成）点法术伤害；同一目标如果在5秒内多次受到法力场影响，将会减少其90%移动速度，持续3秒，该效果会持续衰减；当目标被多个法力场同时命中，将只造成50%伤害；每次法力场影响到敌人，都会触发1次谋略刻印；每10秒可准备1次时空穿梭，最多可储备3次时空穿梭,诸葛亮短暂蓄力后锁定目标发出一击强力元气弹，命中后爆炸对范围内敌人造成450/630/810（+55%法术加成）点法术伤害；目标每损失1%最大生命值就会增加2%伤害；元气弹命中敌人可触发1次谋略刻印，如果击败敌人则立即发动【策谋之刻】，并减少80%元气弹的冷却时间；如果大招命中后的0.2秒内敌人被击败，仍然可以返还80%的冷却，元气弹飞行过程中碰撞到敌方非英雄目标，将会触发同等伤害并将其击飞0.5秒。
黄忠,炮手燃魂,追击潜能,警戒地雷,重装炮台,被动：黄忠普攻命中目标将不断激怒自己，获得1.5%暴击率和12点攻击力加成的效果（重装炮塔状态下效果翻倍），持续1.5秒，最多叠加5层。,黄忠短时间大量提升自身70%移速，移速会在2秒内衰减，如果是在架起状态，可瞬间取消架起状态。被动：增加黄忠60/64/68/72/76/80点物理攻击。,黄忠向指定地点放置警戒地雷，同时获得视野效果，敌方在地雷范围内可触发造成200/240/280/320/360/400（+60%物理加成）点物理伤害，对英雄额外造成50%减速效果与25%的破甲效果，持续2秒，同时自身获得200/240/280/320/360/400（+50%物理攻击）点护盾，持续3秒。地雷最多存在2个。,黄忠进入炮台形态，变得不可移动，同时增加150点物理和法术防御，持续15秒，每次普攻对中心范围内的敌人造成350(+100%物理攻击)物理伤害(对边缘敌人伤害衰减40%)，5~7次(随技能等级成长)普攻后会自动退出炮台形态。攻击防御塔伤害衰减50%。被动:黄忠进入炮台形态时刷新【追击潜能】的冷却时间；再次释放技能可退出炮台形态。
大乔,川流不息,鲤跃之潮,宿命之海,绝断之桥,漩涡之门,被动：大乔与附近600范围内最近的队友将会增加40～60移动速度，增加幅度随英雄等级成长,大乔召唤鲤鱼向指定方向跳跃，对于路径上的敌人造成575/700/825/950（+57%法术加成）点法术伤害并将其推开；鲤鱼会形成河流，持续4秒，友军经过时会增加30/50/70/90%移动速度。,大乔召唤一个持续4秒的法阵，结束后可将1名血量绝对值最低的友军传回出生点，被传送的友方英雄回复全部法力并清除所有负面效果，同时增加40%移速，持续5秒。该移速加成在视野范围内存在敌方单位时将失效,大乔在指定位置召唤海潮，每次0.5秒造成160/205/250/295（+18%法术加成）点法术伤害，持续4秒；首次触碰海潮的敌人将在技能生效的瞬间（0.5s内）被沉默。,大乔在指定位置召唤大型法阵，对范围内敌人造成660/830/1000（+72%法术加成）点法术伤害；法阵将持续8秒；法阵存在时，所有队友可以通过点击漩涡之门传送至法阵位置；当己方英雄处于法阵范围内时，会增加40%攻击速度
东皇太一,暗冕之噬,日蚀祭典,曜龙烛兆,堕神契约,被动：东皇太一使用祭典创造出来的黑暗能量体极不稳定，敌人被黑暗能量体触碰到都会造成100（+敌方3%最大生命值）（+50%法术加成）点法术伤害；每当黑暗能量体对敌方英雄造成伤害时，东皇太一将会回复100（+自身最大生命3%）（+40%法术加成）点生命值，对敌人非英雄目标造成伤害时，东皇太一将会回复自身1%最大生命值,释放力量对周围造成300/360/420/480/540/600（+40%法术攻击）法术伤害并创造出黑暗能量体在身边环绕，同时最多存在3个，若已有三个黑暗能量体，则回复150/180/210/240/270/300（+60%法术攻击）点生命，不再创造新的黑暗能量体。释放技能时命中目标会返还50%冷却和法力值。,黑暗能量体的数量会影响曜龙烛兆的威力。,东皇太一每拥有1个黑暗能量体，就可召唤1条曜龙对指定方向进行范围冲击，每次冲击将造成500/600/700/800/900/1000（+60%法术加成）点法术伤害；第一次和第二次冲击范围内的敌人减少50%和90%移动速度，持续1秒；第三次冲击范围内的敌人将被眩晕1秒；释放时，自身将增加30%移动速度，持续1秒，并且每增加1个黑暗能量体将额外增加10%移动速度,压制敌方目标2秒，期间被压制目标和自身无法进行任何操作并承受等量伤害。释放时直接获得三个黑暗能量体，并在压制期间提升25%旋转速度（每50点法术攻击额外提升5%旋转速度，最高提升至100%）。
干将莫邪,比翼同心,护主邪冢,雌雄双剑·近,雌雄双剑·远,剑来,被动：释放飞剑技能时，莫邪都会配合干将飞出自己的雌剑，雌剑和雄剑呈对称状在一点交汇，造成同等伤害。干将莫邪普通攻击使用飞剑挥砍对方造成300（+25%法术加成）点法术伤害，雌雄剑命中敌方目标会分别叠加雌雄剑气，飞剑会对被剑气缠绕的目标造成额外伤害，同一道剑气被同时多次激发时，后续只造成50%伤害。,干将连续两次将剑冢用力向前推刺出并自身后移，剑冢造成300/350/400/450/500/550（+50%法术加成）点法术伤害并击飞击退敌人。剑冢击伤的敌人3秒内降低150/180/210/240/270/300点法术防御。被动：每次击败英雄或助攻，剑冢都为干将增加自身15点永久法术强度，最高20层。,凌空成剑，释放雄剑，雄剑沿着曲型弹道飞行对敌方造成350/420/490/560/630/700（+45%法术加成）点法术伤害，新增剑气额外伤害100/120/140/160/180/200（+15%法术加成）,凌空成剑，释放雄剑，雄剑沿着曲型弹道飞行对敌方造成350/420/490/560/630/700（+45%法术加成）点法术伤害，新增剑气额外伤害100/120/140/160/180/200（+15%法术加成）,干将立刻刷新飞剑技能，并唤出更多的剑来强化下一次飞剑技能。被动：莫邪时刻观察着战场，将增加15%视野距离，每一股飞剑命中敌人减少剑来一秒CD。
鬼谷子,纵横兵法,先知·神隐,万物有灵,先知·雾隐,被动：鬼谷子脱离敌方视野3秒后，玄微子会再次归巢到法杖中，下一次普通攻击变更为强化攻击，强化攻击会造成300（+45%法术加成）点法术伤害并将范围内的敌人减少50%移动速度，持续1.5秒；如果使用强化攻击时，鬼谷子不处于敌方视野，则纵横兵法的冷却时间将会增加至10秒,鬼谷子命令玄微子包裹自身，使自己与周围环境融为一体进入伪装状态，持续4秒；伪装状态下，鬼谷子将增加40%移动速度，并且对触碰到的每个敌人造成450/540/630/720/810/900（+60%法术加成）点法术伤害，同时降低该敌人25%的物理和法术防御，持续4秒，每个敌人最多触发1次；伪装效果会在鬼谷子用其它方式伤害敌人时消失,鬼谷子召唤大量玄微子在自身周围聚集，对范围内敌人每0.5秒造成100/120/140/160/180/200（+15%法术加成）点法术伤害，持续2秒；2秒后玄微子集结完毕，对范围内敌人造成400（+60%法术加成）点法术伤害，同时将敌人拉扯到鬼谷子身旁并将其晕眩1秒；如果该伤害命中敌方英雄，鬼谷子和范围内的队友将获得可抵免500/600/700/800/900/1000（+100%法术加成）点伤害的护盾。,鬼谷子命令玄微子包裹自身和1500距离内的队友，准备1秒后进入伪装状态；伪装状态下鬼谷子和队友将增加30%移动速度；同时将会探查到距离鬼谷子最近的一名敌方英雄视野，伪装状态最多持续4秒；伪装状态下，如果使用普通攻击、技能或敌方造成负面效果时会立即解除伪装状态
铠,修罗之魂,回旋之刃,极刃风暴,不灭魔躯,被动：铠拥有精湛的战斗技巧，当铠的普通攻击和极刃风暴只命中了一个目标时将会额外造成50%伤害。,铠向指定方向投掷刀刃，对命中的敌人造成200/230/260/290/320/350（+55%物理加成）点物理伤害并减少其30%移动速度，持续2秒；刀刃命中敌人后会在敌人间弹射；命中的第一个目标将会减少80%移动速度，持续1秒；当刀刃命中敌人时，铠将回复100/110/120/130/140（+35%物理加成）(+5%最大生命)并且减少30%回旋之刃的冷却时间，同时增加20/22/24/26/28/30%移动速度和15/17/19/21/23/25%攻击速度，持续3秒。,铠向指定方向发动两次挥砍，每次80/160/240/320/400/480（+30%物理加成）点物理伤害，并且第二次挥砍会将敌人击飞1秒；同时强化下一次普攻，可冲锋至目标身旁额外造成150/180/210/240/270/300点成物理。被动：脱离战斗后铠每秒回复1%最大生命值及最大法力值并且会增加10/12/14/16/18/20点移动速度。,铠召唤魔铠，每0.5秒会对自身附近的敌人造成60点法术伤害，持续8秒；同时会强化自身100/150/200点攻击力、50点移动速度、70/100/130点伤害格挡；魔铠将在1秒后降临，对附近造成300点法术伤害 
百里守约,瞄准,静谧之眼,狂风之息,逃脱,被动：百里守约的普通攻击会造成190%物理加成点物理伤害，但攻击间隔更长且无法暴击；百里守约每获得1%暴击几率就会将其转化为2.5点物理攻击力，每获得4%的额外暴击效果会提升1%普攻伤害。非战斗状态下，百里守约能够隐匿在地形边缘，进入伪装状态，并增加16%~30%移动速度，移动速度随英雄等级成长。,百里守约在脚下布置一个视野装置，获得600~1000范围的全部视野，随技能等级成长；视野装置每50/48/46/44/42/40秒可准备1个，最多储备3个；同时最多放置3个视野装置，每个视野装置可持续300秒；视野装置被敌方英雄占领后失效，多个敌方英雄占领时将加速失效。被动：原地不动时百里守约每秒获得1层伏击效果，每层伏击效果会增加7/8/9/10/11/12%物理穿透，最多叠加5层；移动后伏击效果消失。,百里守约开始瞄准，并尝试进行一次狙击，对命中目标造成600/720/840/960/1080/1200（+250%额外物理攻击）物理伤害并附带目标8%最大生命的物理伤害，同时减少其90%移动速度，持续0.5秒；瞄准需要花费2秒的时间，但在瞄准未完成时子弹有可能产生偏移；技能子弹最多储存2颗（受冷却缩减影响）。,百里守约向后跳跃并向指定方向射击，造成500/700/900（+168%物理加成）点物理伤害并减少其50%移动速度，持续2秒；落地后自身将增加30%移动速度，持续2秒，但普通攻击或技能攻击会立即停止增加移动速度。,每次技能升级，提升25普攻射程。
百里玄策,狂热序章,神乎钩镰,梦魇钩锁,瞬镰闪,被动：钩链近端造成80%物理加成的物理伤害，远端会在近端伤害的基础上额外造成40%物理加成的物理伤害；当钩镰远端命中敌人时降低移速，并且自身会获得短暂移速提升，该效果受神乎钩镰等级影响,玄策进行快速位移戏弄对手增加自身50点物理攻击力，钩镰链中时，玄策进行快速位移会将链中的目标向自己移动方向拉动一小段距离；当钩镰远端命中敌人时，敌人将会减少10/14/18/22/26/30%移动速度，同时自身增加10/14/18/22/26/30%移动速度，持续1秒,玄策舞动钩镰，蓄力后将钩镰向指定方向甩出，对路径上的敌人造成短暂定身控制并造成300/340/380/420/460/500(+140%额外物理加成)点物理伤害；钩镰将捆绑在收回过程中命中的第一个目标，同时对捆绑目标施加狩猎效果；如果捆绑住目标后再次释放该技能，玄策会将目标甩向身后并失去狩猎效果；蓄力越久，钩镰飞行距离越远，蓄力最多持续4秒；蓄力时，自身将增加30%移动速度；取消蓄力会减少梦魇钩锁50%的冷却时间；玄策和狩猎目标作战时将增加10%伤害并减少20/22/24/26/28/30%该目标对自己的伤害；狩猎目标死亡，将立刻返还梦魇钩锁80%的冷却时间，钩镰过程无视韧性效果,玄策沿钩镰锁链瞬镰闪到对方身后，对路径上的敌人造成380/570/760（+200%额外物理加成）点物理伤害；移动过程中，玄策挥舞短镰，将会减少50%所受到的伤害；瞬镰闪只有在钩镰捆绑住目标时才能释放；被动：玄策击杀英雄会激发心中的狂血使得移速增加70%（随时间效果衰减）、攻速增加75%，持续5秒，助攻时移速和攻速效果减半
苏烈,不屈铁壁,烽烟踏破,所向披靡,豪烈万军,被动：苏烈在濒临死亡时会立即回复70%最大生命值，同时会陷入虚弱状态，持续4.5秒；虚弱状态下将禁止一切操作并免疫控制效果，自身会减少50点物理防御和25点法术防御；虚弱状态结束时，苏烈将发出怒吼，对附近敌人造成150（+100%物理加成）点法术伤害并减少其50%移动速度，持续2秒；虚弱状态结束时，苏烈还将增加50%攻击速度和30%移动速度，持续2秒；刚陷入虚弱状态时，苏烈周围会出现3盏烽火台，队友可通过触碰烽火台来点亮烽火，每点亮一盏将会为苏烈和该名队友回复12%最大生命值；3盏烽火台都被点亮时，会立即结束虚弱状态；苏烈每120秒才能触发一次虚弱状态；苏烈的意志力能增加90点物理防御和法术防御，但不屈铁壁处于冷却时会暂时失效。,强化下三次普通攻击，每次攻击造成100/130/160/190/220/250（+100%物理加成）点物理伤害，第三次攻击会将范围内的敌人击飞0.75秒。（攻击完成或者强化效果结束时进入冷却）,苏烈短暂蓄力后，向指定方向冲撞，对敌人造成100/130/160/190/220/250（+40%物理加成）点物理伤害并将其击退。如果将敌人击退至地形边缘，将会额外造成50%伤害并将其晕眩0.75秒；如果苏烈冲撞敌方建筑，将对建筑造成250（+100%物理加成）点物理伤害。,苏烈举起柱子开始蓄力，释放时会用力将柱子砸向地面，对敌人造成300/375/450（+150%物理加成）~1000（+150%物理加成）点物理伤害并将其击飞1秒；被击飞的敌人在落地时还会以该名敌人为中心再产生一次震荡，对附近的其他敌人额外造成80%物理伤害，非英雄单位伤害减半。被动：苏烈与大地共鸣，释放技能或使用强化攻击时，对附近的敌方目标造成38/42/46（+25%物理加成）点法术伤害，持续3秒。蓄力时获得逐渐提升的加速效果，最大提升至20%。蓄力时间会影响技能的伤害和范围。取消蓄力将会返还70%技能冷却。
梦奇,食梦,梦境萦绕,梦力泡泡,梦境环游,被动：梦奇释放技能会获得质量，每10点质量增加6点物理攻击、8点物理和法术防御。梦奇在战斗/非战斗状态下每秒消耗5/15点质量。,梦奇操纵梦力获得175(+150%物理攻击)点护盾，持续4秒，对周围敌人造成250( +60%物理攻击)法术伤害，并增加30点质量。梦奇普攻命中敌人可减少[梦境萦绕) 0.5~1秒冷却时间。,梦奇扔出一个梦力泡泡，并增加30%移速，持续2秒。泡泡首次回到身边时，梦奇会将其再次击向附近敌人。梦力泡泡对路径上的敌人造成130(+20%法术攻击)法术伤害和减速效果(每25点物理攻击提升1%减速)持续2秒，减速效果最多叠加4层。梦奇回收梦力泡泡后获得30点质量，泡泡变成梦力爆弹，扔出后对命中的敌人造成100(+24%法术攻击)~550(+ 132%法术攻击)法术伤害。  梦力泡泡飞行时间越久，爆弹伤害越高，积蓄5.5秒可达到最高伤害。,梦奇进行一-次梦境环游， 期间持续获得质量，对路径上的敌人造成150(+30%物理攻击)(+30%法术攻击)法术伤害。开始环游时获得短暂霸体，再次使用该技能可以立即停止环游，环游停止时对周围敌人造成150(+30%物理攻击)(+30%法术攻击)法术伤害和0.75秒击飞。
女娲,辉煌指引,指令：放射,指令：创造,指令：迁跃,指令：毁灭,被动：女娲每升一级提升2%自身视野范围（最高42%），同时提升2%普攻与技能释放范围（最高28%）；女娲的技能命中敌方英雄将会被标记，使得友军（包括自己）对标记目标造成的普攻和技能伤害，能够直接增加友军16%移动速度和生命回复（总计可回复40（+12%法术加成）），这个效果对于每个攻击者每0.5秒只能触发一次,女娲向指定方向释放能量，对路径上的敌人造成280/325/370/415（+30%法术加成）点法术伤害和击退效果，在撞到敌人之后逐渐停下，并展开十字型阵列，对命中的敌人造成250/290/330/370（+36%法术加成）点法术伤害；十字阵列中心会造成双倍伤害,女娲在指定位置创造矩阵空间，阻止敌方单位通过；创造的空间将在3秒后消失，空间消失或者女娲其他技能触碰到矩阵空间都会引发爆炸对附近的敌人造成540/610/680/750（+65%法术加成）点法术伤害，爆炸伤害范围为535*535；女娲每100点法术攻击将会延长矩阵空间的0.2秒持续时间，最多可储存4个矩阵空间,女娲创造裂隙，在短暂的吟唱后将自己传送到指定位置，并对周围的敌人造成500/560/620/680（+65%法术加成）点法术伤害并短暂眩晕；被动：女娲受到英雄伤害会触发自动防御机制，对身边敌人造成50%减速，生成可抵挡400/480/560/640（+80%法术加成）点伤害的护盾并增加30%移动速度持续2秒,女娲在短暂的延迟后，向指定方向释放纯净的能量，对路径上的敌人造成700/1050/1400（+88%法术加成）点法术伤害
